feature,mean,std
age_years,25.122552408210037,20.2282575699759
apogee_km,4657.241522971878,18806.376630012426
perigee_km,3330.1441962735794,9851.576678146941
inclination_deg,64.07258303437102,25.922276571179406
period_min,250.85250549704895,1229.5877543601314
operator_reliability_score,74.24881379469969,16.970294820347505
operator_compliance_rate,0.6603402383983336,0.2316433861232653
operator_inactive_ratio,0.08885430620786731,0.1683898501257986
has_lifetime_data,0.13308644832773983,0.3396877965471292
orbit_class_GEO,0.05936812868880917,0.23632608268894478
orbit_class_HEO,0.012151371369054507,0.10956780942336307
orbit_class_LEO,0.05797940053234579,0.23371801631386252
orbit_class_MEO,0.028006017822011342,0.16499948922727944
orbit_class_UNKNOWN,0.004166184469390117,0.06441511906929051
