satellite_name,cospar_id,norad_id,object_type,status_code,owner_code,launch_date,launch_site,decay_date,period_min,inclination_deg,apogee_km,perigee_km,radar_cross_section,data_status_code,orbit_center,orbit_type,age_years,avg_altitude_km,orbit_class
MIDAS 3,1961-018A,163,PAY,,US,1961-07-12,AFWTR,,161.46,91.12,3544.0,3345.0,9.2155,,EA,ORB,64.74469541409994,3444.5,MEO
MIDAS 4,1961-028A,192,PAY,,US,1961-10-21,AFWTR,,165.94,95.85,3760.0,3490.0,7.9063,,EA,ORB,64.46817248459959,3625.0,MEO
TRANSIT 4B,1961-031A,202,PAY,,US,1961-11-15,AFETR,,105.59,32.44,1096.0,948.0,1.9757,,EA,ORB,64.39972621492129,1022.0,LEO
TRAAC,1961-031B,205,PAY,,US,1961-11-15,AFETR,,105.68,32.44,1102.0,951.0,0.5519,,EA,ORB,64.39972621492129,1026.5,LEO
RANGER 3,1962-001A,221,PAY,,US,1962-01-26,AFETR,,,,,,,NEA,SU,ORB,64.20260095824777,,UNKNOWN
TIROS 4,1962-002A,226,PAY,-,US,1962-02-08,AFETR,,99.51,48.3,789.0,681.0,0.812,,EA,ORB,64.16700889801506,735.0,LEO
MIDAS 5 (STRONGBACK),1962-010A,271,PAY,,US,1962-04-09,AFWTR,,152.98,86.67,3408.0,2786.0,8.2159,,EA,ORB,64.00273785078713,3097.0,MEO
TIROS 5,1962-025A,309,PAY,-,US,1962-06-19,AFETR,,98.59,58.09,822.0,561.0,0.7711,,EA,ORB,63.80835044490075,691.5,LEO
TELSTAR 1,1962-029A,340,PAY,,US,1962-07-10,AFETR,,157.74,44.79,5638.0,947.0,0.5046,,EA,ORB,63.75085557837098,3292.5,MEO
FTV 3502,1962-039A,369,PAY,,US,1962-08-23,AFWTR,,96.51,98.46,646.0,536.0,0.3354,,EA,ORB,63.630390143737166,591.0,LEO
MARINER 2,1962-041A,374,PAY,,US,1962-08-27,AFETR,,,,,,0.0005,NEA,SU,ORB,63.619438740588635,,UNKNOWN
TIROS 6,1962-047A,397,PAY,-,US,1962-09-18,AFETR,,96.27,58.3,590.0,570.0,0.7579,,EA,ORB,63.559206023271734,580.0,LEO
ALOUETTE 1 (S-27),1962-049A,424,PAY,,CA,1962-09-29,AFWTR,,105.14,80.47,1019.0,984.0,1.08,,EA,ORB,63.52908966461328,1001.5,LEO
RANGER 5,1962-055A,439,PAY,,US,1962-10-18,AFETR,,,,,,,NEA,SU,ORB,63.47707049965777,,UNKNOWN
ANNA 1B,1962-060A,446,PAY,,US,1962-10-31,AFETR,,107.84,50.14,1179.0,1074.0,0.8349,,EA,ORB,63.441478439425055,1126.5,LEO
MARS 1,1962-061C,450,PAY,,CIS,1962-11-01,TYMSC,,,,,,,NEA,SU,ORB,63.43874058863792,,UNKNOWN
RELAY 1 (A-15),1962-068A,503,PAY,,US,1962-12-13,AFETR,,185.05,47.49,7432.0,1325.0,0.9221,,EA,ORB,63.32375085557837,4378.5,MEO
EXPLORER 16,1962-070A,506,PAY,,US,1962-12-16,WLPIS,,103.91,52.0,1146.0,741.0,0.599,,EA,ORB,63.31553730321698,943.5,LEO
SYNCOM 1,1963-004A,553,PAY,-,US,1963-02-14,AFETR,,1236.22,26.88,34831.0,28723.0,0.0339,,EA,ORB,63.15126625598905,31777.0,MEO
LUNA 4,1963-008B,566,PAY,,CIS,1963-04-02,TYMSC,,,,,,,,EM,ORB,63.02258726899384,,UNKNOWN
TELSTAR 2 (A-41),1963-013A,573,PAY,,US,1963-05-07,AFETR,,225.26,42.76,10799.0,971.0,0.476,,EA,ORB,62.926762491444215,5885.0,MEO
MIDAS 6 (FTV 1169),1963-014A,574,PAY,,US,1963-05-09,AFWTR,,166.42,87.36,3676.0,3612.0,10.0295,,EA,ORB,62.92128678986995,3644.0,MEO
DASH 1,1963-014D,589,PAY,,US,1963-05-09,AFWTR,,166.35,87.36,3698.0,3585.0,1.0326,,EA,ORB,62.92128678986995,3641.5,MEO
ERS 6,1963-014C,608,PAY,,US,1963-05-09,AFWTR,,166.42,87.36,3670.0,3618.0,0.7286,,EA,ORB,62.92128678986995,3644.0,MEO
MIDAS 7/ERS 10,1963-030A,622,PAY,,US,1963-07-19,AFWTR,,167.85,88.45,3732.0,3670.0,8.6031,,EA,ORB,62.72689938398357,3701.0,MEO
SYNCOM 2 (A 26),1963-031A,634,PAY,-,US,1963-07-26,AFETR,,1436.36,30.13,35817.0,35767.0,2.1538,,EA,ORB,62.70773442847365,35792.0,GEO
ERS 9,1963-030B,635,PAY,,US,1963-07-19,AFWTR,,167.84,88.42,3746.0,3656.0,0.0859,,EA,ORB,62.72689938398357,3701.0,MEO
TRANSIT 5B-1,1963-038B,670,PAY,,US,1963-09-28,AFWTR,,107.09,89.97,1122.0,1062.0,0.7391,,EA,ORB,62.53251197809719,1092.0,LEO
RADIATION SAT (5E-1),1963-038C,671,PAY,,US,1963-09-28,AFWTR,,107.05,89.97,1120.0,1060.0,1.5705,,EA,ORB,62.53251197809719,1090.0,LEO
VELA 2,1963-039A,674,PAY,,US,1963-10-17,AFETR,,6488.75,46.92,167187.0,50536.0,0.003,,EA,ORB,62.48049281314169,108861.5,HEO
VELA 1,1963-039C,692,PAY,,US,1963-10-17,AFETR,,6494.44,32.09,171882.0,45975.0,2.0,,EA,ORB,62.48049281314169,108928.5,HEO
ATLAS CENTAUR 2,1963-047A,694,PAY,,US,1963-11-27,AFETR,,101.97,30.36,1247.0,456.0,6.388,,EA,ORB,62.36824093086927,851.5,LEO
TRANSIT 5B-2,1963-049B,704,PAY,,US,1963-12-05,AFWTR,,106.89,89.92,1110.0,1056.0,1.1223,,EA,ORB,62.34633812457221,1083.0,LEO
TRANSIT 5E-3,1963-049C,705,PAY,,US,1963-12-05,AFWTR,,106.85,89.92,1108.0,1054.0,1.2861,,EA,ORB,62.34633812457221,1081.0,LEO
TIROS 8,1963-054A,716,PAY,-,US,1963-12-21,AFETR,,97.75,58.49,668.0,634.0,0.7475,,EA,ORB,62.3025325119781,651.0,LEO
GGSE 1 (GGRS),1964-001B,728,PAY,,US,1964-01-11,AFWTR,,103.02,69.91,909.0,894.0,0.367,,EA,ORB,62.24503764544832,901.5,LEO
SECOR 1B,1964-001C,729,PAY,,US,1964-01-11,AFWTR,,103.21,69.9,920.0,900.0,0.2342,,EA,ORB,62.24503764544832,910.0,LEO
SOLRAD 7A,1964-001D,730,PAY,,US,1964-01-11,AFWTR,,103.15,69.91,916.0,899.0,0.4252,,EA,ORB,62.24503764544832,907.5,LEO
GREB,1964-001E,731,PAY,,US,1964-01-11,AFWTR,,103.13,69.91,915.0,898.0,0.5096,,EA,ORB,62.24503764544832,906.5,LEO
OPS 3367 A,1964-002B,734,PAY,,US,1964-01-19,AFWTR,,100.72,98.98,804.0,782.0,0.3186,,EA,ORB,62.223134839151264,793.0,LEO
OPS 3367 B,1964-002C,735,PAY,,US,1964-01-19,AFWTR,,100.8,98.98,809.0,784.0,0.3221,,EA,ORB,62.223134839151264,796.5,LEO
RELAY 2,1964-003A,737,PAY,,US,1964-01-21,AFETR,,194.72,46.47,7647.0,1854.0,0.7637,,EA,ORB,62.217659137577,4750.5,MEO
ELEKTRON 1,1964-006A,746,PAY,,CIS,1964-01-30,TYMSC,,158.12,60.88,6204.0,412.0,2.7047,,EA,ORB,62.19301848049281,3308.0,MEO
ZOND 1,1964-016D,785,PAY,,CIS,1964-04-02,TYMSC,,,,,,0.0091,NEA,SU,ORB,62.02053388090349,,UNKNOWN
OPS 4412 (TRANSIT 9),1964-026A,801,PAY,,US,1964-06-04,AFWTR,,101.62,90.46,868.0,803.0,1.1986,,EA,ORB,61.84804928131417,835.5,LEO
OPS 4467 A,1964-031A,812,PAY,,US,1964-06-18,AFWTR,,101.08,99.81,813.0,807.0,0.341,,EA,ORB,61.80971937029432,810.0,LEO
OPS 4467 B,1964-031B,813,PAY,,US,1964-06-18,AFWTR,,101.14,99.82,817.0,809.0,0.3239,,EA,ORB,61.80971937029432,813.0,LEO
ELEKTRON 3,1964-038A,829,PAY,,CIS,1964-07-10,TYMSC,,156.32,60.82,6060.0,409.0,2.6808,,EA,ORB,61.74948665297741,3234.5,MEO
OPS 3662 (VELA 3),1964-040A,836,PAY,,US,1964-07-17,AFETR,,6020.35,52.59,157755.0,48738.0,0.9885,,EA,ORB,61.73032169746749,103246.5,HEO
OPS 3674 (VELA 4),1964-040B,837,PAY,,US,1964-07-17,AFETR,,6000.0,48.74,166651.0,39348.0,0.003,,EA,ORB,61.73032169746749,102999.5,HEO
SYNCOM 3,1964-047A,858,PAY,-,US,1964-08-19,AFETR,,1434.44,6.8,35767.0,35741.0,2.5119,,EA,ORB,61.63997262149213,35754.0,GEO
EXPLORER 20,1964-051A,870,PAY,,US,1964-08-25,AFWTR,,103.46,79.9,994.0,851.0,0.4927,,EA,ORB,61.62354551676933,922.5,LEO
COSMOS 44,1964-053A,876,PAY,,CIS,1964-08-28,TYMSC,,98.25,65.06,782.0,568.0,3.7615,,EA,ORB,61.61533196440794,675.0,LEO
OPS 5798 (TRANSIT 5B-4),1964-063B,897,PAY,,US,1964-10-06,AFWTR,,106.37,90.23,1074.0,1043.0,0.5248,,EA,ORB,61.50855578370979,1058.5,LEO
EXPLORER 22,1964-064A,899,PAY,,US,1964-10-10,AFWTR,,104.12,79.69,1040.0,866.0,1.423,,EA,ORB,61.497604380561256,953.0,LEO
CALSPHERE 1,1964-063C,900,PAY,+,US,1964-10-06,AFWTR,,104.61,90.22,996.0,956.0,0.051,,EA,ORB,61.50855578370979,976.0,LEO
CALSPHERE 2,1964-063E,902,PAY,+,US,1964-10-06,AFWTR,,106.44,90.23,1077.0,1046.0,0.0457,,EA,ORB,61.50855578370979,1061.5,LEO
MARINER 3,1964-073A,923,PAY,,US,1964-11-05,AFETR,,,,,,,NEA,SU,ORB,61.426420260095824,,UNKNOWN
EXPLORER 25 (INJUN 4),1964-076B,932,PAY,,US,1964-11-21,AFWTR,,113.64,81.34,2264.0,523.0,0.4829,,EA,ORB,61.38261464750171,1393.5,LEO
MARINER 4,1964-077A,938,PAY,,US,1964-11-28,AFETR,,,,,,,NEA,SU,ORB,61.36344969199179,,UNKNOWN
ZOND 2,1964-078C,945,PAY,,CIS,1964-11-30,TYMSC,,,,,,,NEA,SU,ORB,61.35797399041752,,UNKNOWN
OPS 6582 (TRANSIT 5E-5),1964-083C,959,PAY,,US,1964-12-13,AFWTR,,105.69,90.01,1059.0,994.0,1.4284,,EA,ORB,61.322381930184804,1026.5,LEO
OPS 6582 (TRANSIT 5B-5),1964-083D,965,PAY,,US,1964-12-13,AFWTR,,106.12,90.08,1079.0,1014.0,1.0078,,EA,ORB,61.322381930184804,1046.5,LEO
TIROS 9,1965-004A,978,PAY,-,US,1965-01-22,AFETR,,118.9,96.4,2559.0,704.0,0.761,,EA,ORB,61.21286789869952,1631.5,LEO
LES-1,1965-008C,1002,PAY,,US,1965-02-11,AFETR,,145.7,32.14,2808.0,2780.0,0.6539,,EA,ORB,61.158110882956876,2794.0,MEO
SECOR 3,1965-016E,1208,PAY,,US,1965-03-09,AFWTR,,103.15,70.08,922.0,893.0,0.1934,,EA,ORB,61.086926762491444,907.5,LEO
GGSE 2,1965-016B,1244,PAY,,US,1965-03-09,AFWTR,,103.14,70.08,923.0,892.0,0.4709,,EA,ORB,61.086926762491444,907.5,LEO
OPS 4988 (GREB 6),1965-016A,1271,PAY,,US,1965-03-09,AFWTR,,103.1,70.08,920.0,891.0,0.5652,,EA,ORB,61.086926762491444,905.5,LEO
PORCUPINE 1,1965-016H,1272,PAY,,US,1965-03-09,AFWTR,,103.26,70.08,930.0,895.0,0.2365,,EA,ORB,61.086926762491444,912.5,LEO
