operator,total_historical,compliant_count,non_compliant_count,raw_compliance_rate,compliance_rate_smoothed,total_objects,inactive_on_orbit,inactive_ratio,operator_source,compliance_component,debris_component,reliability_score,confidence,reliability_tier,operator_display
xm satellite radio,1,0,1,0.0,0.49525517879875014,2,2,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Xm Satellite Radio
esa,43,10,33,0.23255813953488372,0.26045697206945656,74,29,0.3918918918918919,satcat_owner_code,18.23198804486196,18.243243243243242,36.5,high,low,Esa
mex,4,0,4,0.0,0.2830029593135715,7,3,0.42857142857142855,satcat_owner_code,19.810207151950006,17.142857142857142,37.0,medium,low,Mex
china aerospace science and technology corp casc,9,0,9,0.0,0.1650850595995834,21,3,0.14285714285714285,ucs_operator,11.555954171970837,25.714285714285715,37.3,medium,low,China Aerospace Science And Technology Corp Casc
chbz,2,0,2,0.0,0.3962041430390001,3,2,0.6666666666666666,satcat_owner_code,27.734290012730007,10.000000000000002,37.7,low,low,Chbz
ac,2,0,2,0.0,0.3962041430390001,3,2,0.6666666666666666,satcat_owner_code,27.734290012730007,10.000000000000002,37.7,low,low,Ac
jpn,198,45,153,0.22727272727272727,0.23373642146863186,267,76,0.2846441947565543,satcat_owner_code,16.36154950280423,21.46067415730337,37.8,high,low,Jpn
ses sa,7,0,7,0.0,0.19810207151950004,46,9,0.1956521739130435,ucs_operator,13.867145006365003,24.130434782608695,38.0,medium,low,Ses Sa
military space forces vks,3,0,3,0.0,0.3301701191991668,6,3,0.5,ucs_operator,23.111908343941675,15.0,38.1,medium,low,Military Space Forces Vks
eume,3,0,3,0.0,0.3301701191991668,6,3,0.5,satcat_owner_code,23.111908343941675,15.0,38.1,medium,low,Eume
sirius xm holdings,3,0,3,0.0,0.3301701191991668,7,3,0.42857142857142855,ucs_operator,23.111908343941675,17.142857142857142,40.3,medium,medium,Sirius Xm Holdings
thai,7,2,5,0.2857142857142857,0.39810207151950006,9,5,0.5555555555555556,satcat_owner_code,27.867145006365003,13.333333333333332,41.2,medium,medium,Thai
safr,5,0,5,0.0,0.24762758939937507,5,1,0.2,satcat_owner_code,17.333931257956255,24.0,41.3,medium,medium,Safr
saud,2,0,2,0.0,0.3962041430390001,4,2,0.5,satcat_owner_code,27.734290012730007,15.0,42.7,low,medium,Saud
centre national detudes spatiales cnesdélégation générale de larmement dga,2,0,2,0.0,0.3962041430390001,2,1,0.5,ucs_operator,27.734290012730007,15.0,42.7,low,medium,Centre National Detudes Spatiales Cnesdélégation Générale De Larmement Dga
fr,41,10,31,0.24390243902439024,0.2722959253453409,117,25,0.21367521367521367,satcat_owner_code,19.060714774173864,23.589743589743588,42.7,high,medium,Fr
national aeronautics and space administration nasajohns hopkins university applied physics laboratory,2,0,2,0.0,0.3962041430390001,2,1,0.5,ucs_operator,27.734290012730007,15.0,42.7,low,medium,National Aeronautics And Space Administration Nasajohns Hopkins University Applied Physics Laboratory
globalstar,5,0,5,0.0,0.24762758939937507,33,5,0.15151515151515152,ucs_operator,17.333931257956255,25.454545454545457,42.8,medium,medium,Globalstar
ind,69,23,46,0.3333333333333333,0.346958621044375,97,37,0.38144329896907214,satcat_owner_code,24.287103473106253,18.556701030927837,42.8,high,medium,Ind
peru,3,0,3,0.0,0.3301701191991668,3,1,0.3333333333333333,satcat_owner_code,23.111908343941675,20.000000000000004,43.1,medium,medium,Peru
kaz,3,0,3,0.0,0.3301701191991668,3,1,0.3333333333333333,satcat_owner_code,23.111908343941675,20.000000000000004,43.1,medium,medium,Kaz
skor,13,2,11,0.15384615384615385,0.24881379469968753,56,7,0.125,satcat_owner_code,17.416965628978126,26.25,43.7,high,medium,Skor
rp,7,0,7,0.0,0.19810207151950004,9,0,0.0,satcat_owner_code,13.867145006365003,30.0,43.9,medium,medium,Rp
intelsat sa,4,0,4,0.0,0.2830029593135715,36,5,0.1388888888888889,ucs_operator,19.810207151950006,25.833333333333336,45.6,medium,medium,Intelsat Sa
dodnoaa,2,0,2,0.0,0.3962041430390001,5,2,0.4,ucs_operator,27.734290012730007,18.0,45.7,low,medium,Dodnoaa
neth,6,2,4,0.3333333333333333,0.44233563502166673,8,4,0.5,satcat_owner_code,30.96349445151667,15.0,46.0,medium,medium,Neth
ciel satellite group,0,0,0,0.0,0.6603402383983336,1,1,1.0,ucs_operator,46.22381668788335,0.0,46.2,low,medium,Ciel Satellite Group
