operator_reliability_score,operator_compliance_rate,ml_risk_score,final_risk_tier
79.2,0.7371820750908357,0.2454284318797626,LOW
79.2,0.7371820750908357,0.2579020743357071,LOW
73.5,0.6375579598145286,0.2643406488306287,LOW
73.5,0.6375579598145286,0.2716117140790424,LOW
79.2,0.7371820750908357,0.2438933185576673,LOW
73.5,0.6375579598145286,0.3019885398261785,LOW
73.5,0.6375579598145286,0.2671246895397989,LOW
73.5,0.6375579598145286,0.3760882113978052,LOW
73.5,0.6375579598145286,0.3816882527642398,LOW
73.5,0.6375579598145286,0.5227667968984367,MEDIUM
73.5,0.6375579598145286,0.3527491152262929,LOW
73.5,0.6375579598145286,0.3647821234504144,LOW
79.2,0.7371820750908357,1.0285181761826578e-07,LOW
73.5,0.6375579598145286,0.3593642290546832,LOW
73.5,0.6375579598145286,0.3516855046836253,LOW
73.5,0.6375579598145286,0.3506000017294245,LOW
73.5,0.6375579598145286,0.2971259100971837,LOW
73.5,0.6375579598145286,0.3530363809491532,LOW
79.2,0.7371820750908357,0.2429938736945472,LOW
79.2,0.7371820750908357,0.2434620052164359,LOW
73.5,0.6375579598145286,0.2607268862417986,LOW
73.5,0.6375579598145286,0.3628000687385939,LOW
73.5,0.6375579598145286,0.3025842666798041,LOW
73.5,0.6375579598145286,0.350546149330055,LOW
79.2,0.7371820750908357,0.2513658871044287,LOW
73.5,0.6375579598145286,0.3531870931576355,LOW
73.5,0.6375579598145286,0.2910618945499864,LOW
73.5,0.6375579598145286,0.3565999131287954,LOW
73.5,0.6375579598145286,0.2882889854705291,LOW
79.2,0.7371820750908357,0.2431392353878778,LOW
73.5,0.6375579598145286,0.3570348187354641,LOW
73.5,0.6375579598145286,0.3613135655552966,LOW
73.5,0.6375579598145286,0.3899086217173233,LOW
79.2,0.7371820750908357,0.2438122222089294,LOW
79.2,0.7371820750908357,0.243025937484545,LOW
73.5,0.6375579598145286,0.2803948303944057,LOW
73.5,0.6375579598145286,0.3565619128101275,LOW
73.5,0.6375579598145286,0.3567117888427626,LOW
73.5,0.6375579598145286,0.2505059168735072,LOW
79.2,0.7371820750908357,0.2400136479095993,LOW
79.2,0.7371820750908357,0.2428818034424601,LOW
73.5,0.6375579598145286,0.4469522716038738,MEDIUM
73.5,0.6375579598145286,0.3615649339669496,LOW
73.5,0.6375579598145286,0.3574993243893184,LOW
79.2,0.7371820750908357,0.2431901392150461,LOW
73.5,0.6375579598145286,0.35763313040329,LOW
73.5,0.6375579598145286,0.3224271673372756,LOW
73.5,0.6375579598145286,0.3222716222075634,LOW
79.2,0.7371820750908357,0.2428372746134444,LOW
73.5,0.6375579598145286,0.3595267369971738,LOW
79.2,0.7371820750908357,0.2414873570651179,LOW
73.5,0.6375579598145286,0.5888102247591662,MEDIUM
73.5,0.6375579598145286,0.262064713747452,LOW
73.5,0.6375579598145286,0.2819559190080238,LOW
73.5,0.6375579598145286,0.3559154056468696,LOW
73.5,0.6375579598145286,0.359419975116654,LOW
73.5,0.6375579598145286,0.2582191521787115,LOW
73.5,0.6375579598145286,0.3610315061458125,LOW
73.5,0.6375579598145286,0.3578091999903908,LOW
73.5,0.6375579598145286,0.359669431296243,LOW
73.5,0.6375579598145286,0.3583943840717415,LOW
73.5,0.6375579598145286,0.2589956320668306,LOW
73.5,0.6375579598145286,0.2586849182914178,LOW
73.5,0.6375579598145286,0.3557771271586267,LOW
73.5,0.6375579598145286,0.356585976169535,LOW
73.5,0.6375579598145286,0.3596155170380732,LOW
73.5,0.6375579598145286,0.3728969731148909,LOW
73.5,0.6375579598145286,0.2579443363238125,LOW
73.5,0.6375579598145286,0.355564716212262,LOW
73.5,0.6375579598145286,0.3569089493353845,LOW
73.5,0.6375579598145286,0.2575354475768822,LOW
73.5,0.6375579598145286,0.3732232681096986,LOW
79.2,0.7371820750908357,0.2171779437595571,LOW
79.2,0.7371820750908357,0.2150142548717195,LOW
73.5,0.6375579598145286,0.3382706349956588,LOW
73.5,0.6375579598145286,0.3188541084671981,LOW
79.2,0.7371820750908357,0.2170715902795527,LOW
47.6,0.2647058823529412,0.7151996091743541,HIGH
73.5,0.6375579598145286,0.3188458235891621,LOW
79.2,0.7371820750908357,0.2418337817274568,LOW
73.5,0.6375579598145286,0.3382240709758463,LOW
73.5,0.6375579598145286,0.3576940587072718,LOW
73.5,0.6375579598145286,0.2584626002754402,LOW
79.2,0.7371820750908357,0.2146373886632264,LOW
73.5,0.6375579598145286,0.3385924139803026,LOW
73.5,0.6375579598145286,0.3406570707070492,LOW
73.5,0.6375579598145286,0.3357894873433468,LOW
73.5,0.6375579598145286,0.3881887993291005,LOW
73.5,0.6375579598145286,0.3547240879110258,LOW
73.5,0.6375579598145286,0.3417747007060523,LOW
73.5,0.6375579598145286,0.341877926209752,LOW
79.2,0.7371820750908357,0.216343543860965,LOW
73.5,0.6375579598145286,0.3852510053814434,LOW
73.5,0.6375579598145286,0.3294033295818838,LOW
73.5,0.6375579598145286,0.3334883623753732,LOW
79.2,0.7371820750908357,0.2441523048194662,LOW
73.5,0.6375579598145286,0.3574344615084049,LOW
73.5,0.6375579598145286,0.3883635517473565,LOW
79.2,0.7371820750908357,0.2407960310502004,LOW
79.2,0.7371820750908357,0.2412032151831525,LOW
79.2,0.7371820750908357,0.215072688816433,LOW
79.2,0.7371820750908357,0.2399056662439451,LOW
73.5,0.6375579598145286,0.3199174388990858,LOW
79.2,0.7371820750908357,0.2423183872221388,LOW
73.5,0.6375579598145286,0.3592120650018857,LOW
79.2,0.7371820750908357,0.2419131199734394,LOW
73.5,0.6375579598145286,0.3550929730233721,LOW
79.2,0.7371820750908357,0.2493410077577857,LOW
73.5,0.6375579598145286,0.3228282373769791,LOW
73.5,0.6375579598145286,0.5196471462147365,MEDIUM
73.5,0.6375579598145286,0.258002629347854,LOW
73.5,0.6375579598145286,0.3562208072389324,LOW
79.2,0.7371820750908357,0.2439361125772501,LOW
79.2,0.7371820750908357,0.2143685384324206,LOW
79.2,0.7371820750908357,0.2436912292467368,LOW
73.5,0.6375579598145286,0.3330231043763444,LOW
73.5,0.6375579598145286,0.2360193769018193,LOW
79.2,0.7371820750908357,0.2409466405686562,LOW
73.5,0.6375579598145286,0.3413757017959821,LOW
73.5,0.6375579598145286,0.3828158485669035,LOW
73.5,0.6375579598145286,0.3213621389065277,LOW
73.5,0.6375579598145286,0.3174740701253598,LOW
73.5,0.6375579598145286,0.3308227914277478,LOW
73.5,0.6375579598145286,0.3294615259908728,LOW
73.5,0.6375579598145286,0.3327232758210486,LOW
73.5,0.6375579598145286,0.3338799918063572,LOW
73.5,0.6375579598145286,0.3302429857108739,LOW
73.5,0.6375579598145286,0.3749638962184041,LOW
73.5,0.6375579598145286,0.329461907959292,LOW
79.2,0.7371820750908357,0.2439331440846268,LOW
79.2,0.7371820750908357,0.2392693308267706,LOW
73.5,0.6375579598145286,0.3551077964401844,LOW
73.5,0.6375579598145286,0.3553021513176393,LOW
73.5,0.6375579598145286,0.3933618615927666,LOW
79.2,0.7371820750908357,0.2429935865857361,LOW
73.5,0.6375579598145286,0.342369170490382,LOW
73.5,0.6375579598145286,0.3033546753586037,LOW
79.2,0.7371820750908357,0.2156881327697098,LOW
79.2,0.7371820750908357,0.2414816136930117,LOW
79.2,0.7371820750908357,0.2431892944570958,LOW
73.5,0.6375579598145286,0.2577076354336162,LOW
73.5,0.6375579598145286,0.3371823015477823,LOW
73.5,0.6375579598145286,0.3627597871333198,LOW
79.2,0.7371820750908357,0.2151630599867493,LOW
79.2,0.7371820750908357,0.2430801581928239,LOW
73.5,0.6375579598145286,0.3541145709784271,LOW
79.2,0.7371820750908357,0.2398442576816003,LOW
73.5,0.6375579598145286,0.3689836503507646,LOW
79.2,0.7371820750908357,0.2402369886697704,LOW
73.5,0.6375579598145286,0.3298831345334435,LOW
73.5,0.6375579598145286,0.3283356134375095,LOW
73.5,0.6375579598145286,0.3280601506942064,LOW
73.5,0.6375579598145286,0.3286358434726382,LOW
73.5,0.6375579598145286,0.3281637103630578,LOW
73.5,0.6375579598145286,0.3065936717009923,LOW
73.5,0.6375579598145286,0.352997331603485,LOW
73.5,0.6375579598145286,0.2870291527109463,LOW
73.5,0.6375579598145286,0.3547527412490652,LOW
73.5,0.6375579598145286,0.3543502104183947,LOW
73.5,0.6375579598145286,0.3822098248175181,LOW
73.5,0.6375579598145286,0.3560449083874174,LOW
73.5,0.6375579598145286,0.3685179344444577,LOW
73.5,0.6375579598145286,0.3399627007712974,LOW
79.2,0.7371820750908357,0.2163821811786459,LOW
73.5,0.6375579598145286,0.3396189349653274,LOW
73.5,0.6375579598145286,0.3557285204156651,LOW
73.5,0.6375579598145286,0.3568314505515001,LOW
73.5,0.6375579598145286,0.3814956791925256,LOW
73.5,0.6375579598145286,0.3369905258782255,LOW
79.2,0.7371820750908357,0.2427042253311016,LOW
73.5,0.6375579598145286,0.6016077861284859,MEDIUM
73.5,0.6375579598145286,0.3879585673936622,LOW
73.5,0.6375579598145286,0.372078177561549,LOW
73.5,0.6375579598145286,0.370197826648625,LOW
79.2,0.7371820750908357,0.2307599443388793,LOW
79.2,0.7371820750908357,0.2408211105383478,LOW
79.2,0.7371820750908357,0.2428140267644687,LOW
73.5,0.6375579598145286,0.4804505519628995,MEDIUM
73.5,0.6375579598145286,0.3282668718436952,LOW
79.2,0.7371820750908357,0.2163097193996878,LOW
73.5,0.6375579598145286,0.3854654930971176,LOW
79.2,0.7371820750908357,0.2432524462303199,LOW
73.5,0.6375579598145286,0.3535171040618177,LOW
73.5,0.6375579598145286,0.3177742953533506,LOW
73.5,0.6375579598145286,0.319947949434888,LOW
73.5,0.6375579598145286,0.3753065149608707,LOW
73.5,0.6375579598145286,0.2551845478140487,LOW
73.5,0.6375579598145286,0.3170699929885819,LOW
79.2,0.7371820750908357,0.2292785870660517,LOW
73.5,0.6375579598145286,0.3391173360825821,LOW
73.5,0.6375579598145286,0.3819430917553653,LOW
79.2,0.7371820750908357,0.2158834380508849,LOW
73.5,0.6375579598145286,0.3536754591183637,LOW
73.5,0.6375579598145286,0.3832534013663801,LOW
79.2,0.7371820750908357,0.2126425850878359,LOW
47.6,0.2647058823529412,0.7105310472310268,HIGH
79.2,0.7371820750908357,0.2413984552842816,LOW
79.2,0.7371820750908357,0.2432131025213274,LOW
73.5,0.6375579598145286,0.2548759603023229,LOW
79.2,0.7371820750908357,0.2283306483121638,LOW
